"BandNumber","FieldCode","Station","Malaria","IDBirdBandingData","SpeciesName","CP","BP","Fat","BodyMolt","FFMolt","FFWear","RightWing","LeftWing","CycleCode","Age","Sex","Weight","CaptureTime"
245113782,"SMD2015100203","HOME","P",7881,"NORTHERN CARDINAL","N","N","N","T","N","S",90,NA,"FAS","U","F",40.4,10:35:00
245113785,"SMD2015060801","BAMB","P",6021,"NORTHERN CARDINAL","N","N","T","L","S","M",86,NA,"FPF","H","F",40.4,08:30:00
245113785,"SMD2015060801","BAMB","P",6988,"NORTHERN CARDINAL","N","W","N","N","N","L",86,NA,"FAS","A","F",39.9,11:30:00
245113785,"SMD2015060801","BAMB","P",7594,"NORTHERN CARDINAL","N","N","N","L","S",NA,NA,NA,"DPB","A","F",40,07:44:00
245113785,"SMD2015060801","BAMB","P",7732,"NORTHERN CARDINAL","N","N","L","M","S",NA,89,NA,"DPB","A","F",40.2,07:58:00
245113785,"SMD2015060801","BAMB","P",7878,"NORTHERN CARDINAL","N","N","N","T","N","S",87,NA,"FAS","A","F",41.2,09:01:00
245113785,"SMD2015060801","BAMB","P",12309,"NORTHERN CARDINAL","N","W","H","N","N","L",90,NA,"FAS","A","F",44.1,08:35:00
245113785,"SMD2015091029","HOME","P",6021,"NORTHERN CARDINAL","N","N","T","L","S","M",86,NA,"FPF","H","F",40.4,08:30:00
245113785,"SMD2015091029","HOME","P",6988,"NORTHERN CARDINAL","N","W","N","N","N","L",86,NA,"FAS","A","F",39.9,11:30:00
245113785,"SMD2015091029","HOME","P",7594,"NORTHERN CARDINAL","N","N","N","L","S",NA,NA,NA,"DPB","A","F",40,07:44:00
245113785,"SMD2015091029","HOME","P",7732,"NORTHERN CARDINAL","N","N","L","M","S",NA,89,NA,"DPB","A","F",40.2,07:58:00
245113785,"SMD2015091029","HOME","P",7878,"NORTHERN CARDINAL","N","N","N","T","N","S",87,NA,"FAS","A","F",41.2,09:01:00
